Customer_ID,Name,Age,Gender,Marital_Status,City,State,Occupation,Annual_Income,Expenses,Credit_Score,Website_Visits,Search_History,Chatbot_Interactions,Active_Policies,Matured_Policies,Payment_History,Premium_Type,Email_Response_Rate,App_Interactions,Feedback_Score,Propensity_Score
0,Vikram Bose,61,Female,Married,Chennai,Tamil Nadu,Civil Engineer,541941,449289,729,49,Car Insurance,7,5,0,On-time,Yearly,0.7905133738633766,84,4,0.57
1,Pankaj Yadav,47,Male,Single,Jaipur,Rajasthan,Bank Manager,493615,740599,838,46,Car Insurance,12,0,3,On-time,Lump Sum,0.0349007596510156,70,2,0.56
2,Suresh Bose,26,Female,Single,Chennai,Tamil Nadu,Shop Owner,1588584,1291201,635,24,Car Insurance,7,0,3,On-time,Monthly,0.3422879477828633,75,2,0.55
3,Amit Nair,27,Male,Married,Hyderabad,Telangana,Shop Owner,707939,686906,387,38,Life Insurance,14,0,1,Late,Yearly,0.8358502974824,98,10,0.57
4,Sneha Nair,28,Male,Married,Chennai,Tamil Nadu,Teacher,977200,1178839,838,9,Retirement Plans,1,5,2,On-time,Lump Sum,0.2921490537956971,89,10,0.54
5,Meena Saxena,58,Male,Single,Lucknow,Uttar Pradesh,Journalist,381502,87439,394,45,Car Insurance,20,2,0,Late,Yearly,0.7917980053380653,48,6,0.59
6,Priya Kumar,39,Male,Single,Ahmedabad,Gujarat,Bank Manager,1313145,768640,741,45,Life Insurance,2,1,2,On-time,Lump Sum,0.5183842209176961,64,2,0.6
7,Rahul Malhotra,37,Female,Single,Patna,Bihar,Lawyer,567528,1213769,848,26,Health Insurance,2,4,3,On-time,Yearly,0.2915691012880883,67,3,0.44
8,Neha Kumar,36,Male,Single,Hyderabad,Telangana,Journalist,1380912,1369673,503,36,Health Insurance,12,4,3,Late,Lump Sum,0.4703655347147629,17,4,0.55
9,Arun Singh,26,Female,Married,Indore,Madhya Pradesh,Doctor,586436,1087952,785,8,Life Insurance,7,4,1,On-time,Lump Sum,0.1799286475524999,22,1,0.41
10,Sneha Saxena,62,Male,Single,Indore,Madhya Pradesh,Mechanic,302567,962613,612,29,Investment Plans,1,3,3,Late,Yearly,0.9556609729612454,20,2,0.37
11,Dinesh Yadav,46,Male,Married,Jaipur,Rajasthan,Software Engineer,931274,1028025,539,29,Life Insurance,8,2,3,Late,Monthly,0.8854268310936662,33,6,0.51
12,Rajesh Verma,49,Male,Married,Chennai,Tamil Nadu,Journalist,281685,719597,764,25,Investment Plans,12,2,3,On-time,Monthly,0.0431655141615666,91,1,0.46
13,Rajesh Kumar,34,Female,Married,Ahmedabad,Gujarat,Journalist,577424,119833,706,35,Investment Plans,12,1,2,On-time,Lump Sum,0.719020204145055,35,10,0.66
14,Rahul Saxena,53,Male,Single,Bangalore,Karnataka,Plumber,1304440,1359493,466,10,Health Insurance,15,5,1,On-time,Monthly,0.4469989070181187,38,6,0.52
15,Sneha Reddy,43,Female,Single,Lucknow,Uttar Pradesh,Mechanic,1973514,512562,865,46,Car Insurance,9,5,0,Late,Lump Sum,0.0582655328423783,17,5,0.82
16,Kavita Yadav,40,Female,Single,Pune,Maharashtra,Lawyer,1728517,329035,819,34,Investment Plans,10,4,1,Late,Monthly,0.9262001533444584,100,1,0.74
17,Arun Sharma,23,Male,Married,Mumbai,Maharashtra,Farmer,1031569,418696,600,10,Investment Plans,3,0,3,On-time,Lump Sum,0.657907173857396,7,7,0.55
18,Meena Patel,58,Male,Single,Chennai,Tamil Nadu,Electrician,1373141,936965,529,16,Retirement Plans,5,4,1,Late,Monthly,0.6617144649794948,67,3,0.52
19,Manish Malhotra,27,Female,Single,Pune,Maharashtra,Civil Engineer,420047,364059,404,17,Retirement Plans,7,4,2,On-time,Monthly,0.5243710872014229,3,1,0.4
20,Manish Gupta,48,Female,Married,Lucknow,Uttar Pradesh,Businessman,650494,1293687,564,23,Retirement Plans,1,1,1,On-time,Monthly,0.0474631181258431,79,1,0.35
21,Rohit Sharma,42,Female,Married,Ahmedabad,Gujarat,Nurse,1625642,1032405,412,8,Health Insurance,11,1,2,On-time,Lump Sum,0.3652303805379863,65,7,0.57
22,Pooja Malhotra,59,Male,Single,Bangalore,Karnataka,Mechanic,656762,665906,676,25,Retirement Plans,10,4,0,On-time,Monthly,0.3701681636069943,83,2,0.5
23,Rahul Agarwal,60,Male,Single,Delhi,Delhi,Nurse,1841393,171716,723,46,Retirement Plans,4,0,2,On-time,Monthly,0.8489814439327855,75,8,0.81
24,Manish Malhotra,23,Female,Married,Ahmedabad,Gujarat,Electrician,1708756,1038086,728,30,Car Insurance,10,3,0,Late,Lump Sum,0.5728350793360119,78,1,0.63
25,Priya Agarwal,42,Male,Single,Chennai,Tamil Nadu,Teacher,364635,784558,823,45,Health Insurance,14,2,1,On-time,Lump Sum,0.3938584442951194,69,10,0.62
26,Pooja Nair,37,Male,Single,Delhi,Delhi,Farmer,1096295,201972,561,21,Life Insurance,5,1,2,On-time,Monthly,0.920444542518059,34,2,0.56
27,Anjali Reddy,52,Male,Single,Pune,Maharashtra,Government Employee,624490,110964,528,48,Car Insurance,6,4,3,On-time,Monthly,0.3169815197519964,40,9,0.62
28,Sunita Reddy,27,Male,Married,Mumbai,Maharashtra,Journalist,905213,1122168,766,36,Investment Plans,7,1,2,On-time,Monthly,0.974756999215241,94,4,0.54
29,Neha Verma,64,Male,Single,Indore,Madhya Pradesh,Software Engineer,1187251,735652,590,43,Investment Plans,13,3,0,Late,Yearly,0.9077482020400568,91,7,0.66
30,Divya Iyer,29,Female,Married,Bangalore,Karnataka,Lawyer,1914246,1183740,893,44,Investment Plans,13,0,0,Late,Lump Sum,0.3047317702366323,75,10,0.82
31,Sunita Gupta,36,Male,Married,Bangalore,Karnataka,Bank Manager,1113084,1130307,831,34,Investment Plans,9,0,3,Late,Lump Sum,0.0564283435747667,60,6,0.61
32,Suman Joshi,43,Male,Married,Patna,Bihar,Mechanic,1749711,1105061,492,18,Health Insurance,15,4,2,On-time,Yearly,0.6618784594197045,12,4,0.61
33,Kavita Bose,22,Male,Single,Lucknow,Uttar Pradesh,Teacher,835456,588493,389,50,Retirement Plans,16,2,3,Late,Yearly,0.8022027193348759,16,1,0.54
34,Manish Iyer,42,Male,Married,Delhi,Delhi,Nurse,1451644,210289,890,30,Retirement Plans,6,5,2,On-time,Yearly,0.7748705309901665,98,4,0.72
35,Rajesh Patel,22,Female,Married,Bangalore,Karnataka,Journalist,712714,711172,404,17,Health Insurance,4,4,3,Late,Yearly,0.9062583359314782,52,4,0.42
36,Divya Saxena,62,Female,Married,Bangalore,Karnataka,Government Employee,1905607,1003900,496,20,Car Insurance,7,5,1,Late,Monthly,0.5451164160107217,20,1,0.58
37,Arun Yadav,26,Male,Married,Patna,Bihar,Plumber,934489,928184,814,13,Investment Plans,6,0,1,On-time,Lump Sum,0.2621718427048534,78,10,0.58
38,Rahul Malhotra,42,Female,Single,Chennai,Tamil Nadu,Journalist,1239761,156501,632,27,Car Insurance,3,1,2,Late,Lump Sum,0.4901516342296907,57,5,0.63
39,Anjali Gupta,49,Male,Married,Chennai,Tamil Nadu,Bank Manager,1117910,1429895,563,22,Health Insurance,7,2,0,Late,Yearly,0.7530628550348374,51,10,0.53
40,Manish Chopra,35,Female,Single,Jaipur,Rajasthan,Teacher,1978292,207241,845,1,Investment Plans,11,3,3,On-time,Yearly,0.2491752502025778,92,10,0.82
41,Sneha Joshi,28,Male,Single,Pune,Maharashtra,Shop Owner,391984,1343342,607,48,Life Insurance,20,0,0,On-time,Lump Sum,0.3023536372512871,43,4,0.5
42,Kavita Bose,60,Female,Married,Hyderabad,Telangana,Bank Manager,1479854,614397,685,28,Car Insurance,17,3,1,On-time,Yearly,0.2904450356288339,97,9,0.74
43,Amit Sharma,40,Male,Married,Lucknow,Uttar Pradesh,Bank Manager,279482,1473145,573,20,Retirement Plans,5,0,0,On-time,Lump Sum,0.1616209113911966,15,3,0.32
