Customer_ID,Name,Age,Gender,Marital_Status,City,State,Occupation,Annual_Income,Expenses,Credit_Score,Website_Visits,Search_History,Chatbot_Interactions,Active_Policies,Matured_Policies,Payment_History,Premium_Type,Email_Response_Rate,App_Interactions,Feedback_Score,Propensity_Score,Policy_Type,Total_Premium_Paid,Policy_Maturity_Amount,Years_Completed,Policy_Term,Market_Return_Comparison,Estimated_Alternative_Growth
0,Vikram Bose,61,Female,Married,Chennai,Tamil Nadu,Civil Engineer,541941,449289,729,49,Car Insurance,7,5,0,On-time,Yearly,0.7905133738633766,84,4,0.57,Money Back,498667,1069800.1840671021,15,13,1.12,2729486.616471433
1,Pankaj Yadav,47,Male,Single,Jaipur,Rajasthan,Bank Manager,493615,740599,838,46,Car Insurance,12,0,3,On-time,Lump Sum,0.0349007596510156,70,2,0.56,Whole Life,190987,413585.87747374695,9,21,1.15,671868.6393649096
2,Suresh Bose,26,Female,Single,Chennai,Tamil Nadu,Shop Owner,1588584,1291201,635,24,Car Insurance,7,0,3,On-time,Monthly,0.3422879477828633,75,2,0.55,ULIP,319363,559888.4761001429,7,19,1.15,849511.9290861409
3,Amit Nair,27,Male,Married,Hyderabad,Telangana,Shop Owner,707939,686906,387,38,Life Insurance,14,0,1,Late,Yearly,0.8358502974824,98,10,0.57,Whole Life,231951,382653.15769313875,2,29,1.06,260620.14360000004
4,Sneha Nair,28,Male,Married,Chennai,Tamil Nadu,Teacher,977200,1178839,838,9,Retirement Plans,1,5,2,On-time,Lump Sum,0.2921490537956971,89,10,0.54,Whole Life,215716,362909.8971347825,9,22,1.06,364447.6431202249
5,Meena Saxena,58,Male,Single,Lucknow,Uttar Pradesh,Journalist,381502,87439,394,45,Car Insurance,20,2,0,Late,Yearly,0.7917980053380653,48,6,0.59,Endowment,80279,199408.57512531706,10,23,1.12,249334.388317665
6,Priya Kumar,39,Male,Single,Ahmedabad,Gujarat,Bank Manager,1313145,768640,741,45,Life Insurance,2,1,2,On-time,Lump Sum,0.5183842209176961,64,2,0.6,ULIP,335172,419682.9212753359,2,14,1.12,420439.75680000003
7,Rahul Malhotra,37,Female,Single,Patna,Bihar,Lawyer,567528,1213769,848,26,Health Insurance,2,4,3,On-time,Yearly,0.2915691012880883,67,3,0.44,ULIP,386407,899223.551118843,19,13,1.06,1169112.8268031604
8,Neha Kumar,36,Male,Single,Hyderabad,Telangana,Journalist,1380912,1369673,503,36,Health Insurance,12,4,3,Late,Lump Sum,0.4703655347147629,17,4,0.55,ULIP,20126,39291.54765480639,11,23,1.15,93634.02923718593
9,Arun Singh,26,Female,Married,Indore,Madhya Pradesh,Doctor,586436,1087952,785,8,Life Insurance,7,4,1,On-time,Lump Sum,0.1799286475524999,22,1,0.41,Whole Life,334473,592084.1196333799,13,19,1.12,1459470.6315337864
